Zadania,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22.1,22.2,22.3,22.4,22.5,22.6,p�e�,dyslleksja,Lokalizacja
Obszar,I,II,I,II,II,II,III,II,II,II,II,II,II,IV,IV,I,I,I,I,I,III,III,III,III,III,III,III,,,
Umiej�tno��,1.2,2.5,1.2,4.2,3.1,2.4,2.4,3.2,2.2,3.1,2.2,3.1,3.1,2.1,2.5,1.2,1.2,3.5,3.6,2.3/3.2,1.2/1.5,tresc,segmentacja,styl,jzyk,ortografia,interpunkcja,,,
Punkty,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,1,,,
A01,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,2,4,1,1,1,1,0,K,T,mi
A02,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,4,0,1,0,1,0,M,N,mi
A03,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,2,4,1,1,2,1,1,K,T,mi
A04,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,2,4,0,1,1,1,0,M,N,mi
A05,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,2,0,1,0,0,0,M,N,mi
A06,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,2,4,1,1,2,1,0,K,N,mi
A07,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,3,1,1,0,0,0,M,N,mi
A08,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,4,1,1,2,1,0,K,N,mi
A09,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,4,0,1,0,0,0,K,N,mi
A10,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,4,0,1,2,1,0,M,N,wi
A11,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,4,0,1,0,1,0,K,T,mi
A12,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,2,4,1,1,2,1,0,K,T,mi
A13,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,4,1,1,2,1,0,K,T,mi
A14,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,2,0,1,0,1,0,K,N,mi
A15,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,2,4,1,1,2,1,1,K,N,mi
A16,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,4,0,1,0,0,0,M,N,wi
A17,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,4,0,1,2,1,0,K,T,mi
A18,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,4,0,1,1,0,0,M,N,mi
A19,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,4,1,1,1,1,0,K,N,mi
A20,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,4,0,1,0,1,0,M,N,mi
A21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,4,1,1,2,1,0,K,N,wi
A22,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,2,4,1,1,2,0,0,K,N,mi
A23,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,4,1,1,0,1,0,M,N,mi
A24,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,M,N,mi
A25,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,2,4,1,1,2,0,1,M,N,mi
A26,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,2,2,1,1,0,1,0,M,T,mi
A27,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,2,4,1,1,2,1,1,K,N,mi
B02,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,2,4,1,1,0,1,0,K,N,mi
B03,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,4,0,1,2,1,1,K,N,wi
B04,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,4,1,1,2,1,0,K,N,mi
B05,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,3,1,1,2,1,0,M,N,wi
B06,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,3,0,1,0,0,0,K,N,mi
B07,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,0,1,K,N,mi
B08,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,2,4,1,1,2,1,0,K,N,mi
B09,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,2,0,1,0,1,0,M,T,mi
B10,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,3,0,1,0,1,0,M,T,mi
B11,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,3,0,1,0,0,0,M,N,mi
B12,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,2,4,1,1,2,1,0,K,N,mi
B13,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,3,0,1,1,1,0,M,N,wi
B14,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,4,0,1,2,1,0,K,N,mi
B15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,4,0,1,0,1,0,K,T,mi
B16,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,2,0,1,0,1,0,M,N,mi
B17,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,3,1,1,0,1,0,M,T,mi
B18,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,3,0,1,0,1,0,M,N,mi
B19,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,2,4,0,1,0,1,1,M,N,wi
B20,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,2,1,1,0,0,0,M,N,mi
C01,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,3,1,1,0,1,0,M,T,mi
C02,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,2,1,1,1,1,0,K,N,mi
C03,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,4,1,1,0,0,0,M,N,wi
C04,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,4,0,1,0,1,0,K,N,wi
C05,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,3,1,1,0,1,1,K,T,mi
C06,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,2,4,1,1,2,1,1,K,N,mi
C07,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,2,2,0,1,2,1,1,M,N,mi
C08,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,2,0,1,K,N,wi
C09,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,2,4,1,1,0,0,0,M,N,mi
C10,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,4,1,1,0,1,0,M,N,mi
C11,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,4,1,1,0,0,1,K,N,mi
C12,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,4,1,1,0,1,0,M,T,mi
C13,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,4,1,1,2,1,0,K,N,mi
C14,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,3,1,1,0,1,0,K,N,wi
C15,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,2,2,0,1,0,0,1,M,N,mi
C16,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,0,1,2,0,0,K,N,mi
C18,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,2,4,0,1,0,0,0,M,N,mi
C19,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,1,1,0,1,0,K,T,mi
C20,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,3,0,1,0,1,0,M,T,mi
C21,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,3,1,1,0,0,0,M,N,wi
D01,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,4,1,1,2,1,0,K,N,mi
D02,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,4,0,1,2,1,1,K,T,mi
D03,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,4,1,1,0,1,0,K,N,mi
D04,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,4,1,1,0,0,0,K,N,mi
D05,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,2,1,1,0,1,1,K,N,mi
D06,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,2,4,1,1,2,1,0,K,N,mi
D07,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,4,1,1,0,1,0,K,T,mi
D08,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,4,1,1,2,1,1,K,N,mi
D09,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,2,4,1,1,2,1,1,K,N,mi
D10,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,4,0,1,1,1,0,K,T,mi
D11,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,2,3,0,1,0,1,0,K,T,mi
D12,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,1,0,0,0,M,N,mi
D13,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,4,1,1,0,0,0,K,N,mi
D14,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,2,4,1,1,2,0,0,M,N,mi
D15,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,2,0,1,0,1,0,M,T,mi
D16,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,4,1,1,2,0,0,M,N,mi
D17,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,2,4,1,1,2,1,0,K,N,mi
D18,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,4,1,1,2,1,1,K,N,mi
D19,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,3,0,1,0,1,0,M,T,wi
D20,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,4,1,1,0,0,0,M,N,wi
D21,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,2,4,0,1,0,0,0,K,N,mi
E01,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,4,1,1,0,0,1,M,N,mi
E02,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2,0,1,0,1,0,K,T,mi
E03,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,4,0,1,2,0,1,M,N,wi
E04,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,2,0,1,0,0,0,K,N,mi
E05,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,M,N,mi
E06,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,3,0,1,0,1,0,M,N,mi
E07,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,4,1,1,0,0,0,K,N,mi
E08,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,K,N,mi
E09,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,2,3,0,1,0,0,0,K,N,mi
E10,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,M,N,mi
E11,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,2,1,1,0,0,0,M,N,mi
E12,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,2,3,0,1,0,0,0,K,N,mi
E13,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,3,0,1,0,1,0,M,N,mi
E14,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,K,N,mi
E15,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,4,1,1,0,0,1,K,N,mi
E16,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,4,1,1,0,1,0,M,T,mi
E17,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,2,3,1,1,2,0,0,K,N,wi
E18,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,4,1,1,0,1,1,M,N,wi
E19,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,4,0,1,0,0,0,K,N,mi
E20,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,2,0,1,0,0,0,M,N,wi
F01,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,2,4,0,1,0,1,0,K,N,mi
F02,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,1,K,N,mi
F03,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,4,1,1,1,1,0,K,N,mi
F04,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,4,1,1,0,1,0,M,N,mi
F05,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,2,2,1,1,0,1,0,M,N,mi
F06,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,4,1,1,2,1,1,K,N,mi
F07,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,2,4,1,1,0,1,0,K,N,mi
F08,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,3,0,1,1,0,0,M,N,mi
F09,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,1,1,M,N,mi
F10,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,M,N,mi
F11,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,2,4,1,1,2,1,1,M,N,mi
F12,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,3,0,1,0,1,0,M,T,mi
F13,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,2,4,1,1,2,1,1,K,N,mi
F14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,1,M,N,mi
F15,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,4,1,1,0,1,0,K,N,mi
F16,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,2,3,1,1,0,0,0,M,N,mi
F17,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,4,1,1,1,1,0,K,N,mi
F18,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,4,0,1,0,0,0,M,N,mi
F19,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,2,4,1,1,2,1,1,K,N,wi
F20,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,0,K,T,mi
F21,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,2,4,0,1,0,1,0,K,N,mi
F22,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,3,1,1,2,1,0,K,N,mi
F23,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,M,T,mi
F24,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,4,1,1,2,0,0,K,N,mi
F25,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,4,1,1,0,1,0,M,T,mi
F26,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,2,4,1,1,0,0,0,M,N,mi
